l/nm,Standard illuminant A,Standard illuminant D65,Illuminant C,Illuminant D50,Illuminant D 55,Illuminant D 75,ID65,ID50,FL1,FL2,FL3,FL4,FL5,FL6,FL7,FL8,FL9,FL10,FL11,FL12,FL3.1,FL3.2,FL3.3,FL3.4,FL3.5,FL3.6,FL3.7,FL3.8,FL3.9,FL3.10,FL3.11,FL3.12,FL3.13,FL3.14,FL3.15,HP1,HP2,HP3,HP4,HP5,LED-B1,LED-B2,LED-B3,LED-B4,LED-B5,LED-BH1,LED-RGB1,LED-V1,LED-V2
610,"269,043","179,4017","177,23","197,747","189,920","172,824","175,27","193,20","23,31","29,01","32,87","37,17","22,02","27,79","23,49","26,46","28,89","52,43","64,99","80,84","187,58","152,86","112,30","179,74","153,94","136,37","461,49","355,15","307,51","61,83","253,87","201,76","172,32","149,94","853,00","197,70","202,27","219,12","142,98","143,32","41,97","39,07","32,32","27,10","24,50","35,64","28,09","40,03","31,67"
620,"283,606","176,3476","176,29","198,197","188,900","168,442","171,06","192,25","18,98","23,31","26,49","30,42","17,64","21,93","22,47","27,48","28,87","46,64","55,76","67,69","152,66","132,28","90,52","190,32","158,81","139,25","259,73","215,48","193,31","67,96","169,86","215,27","180,92","164,36","865,00","154,94","322,02","160,29","102,21","137,60","40,94","37,91","30,50","24,41","21,67","58,94","45,44","43,90","33,07"
630,"298,071","168,7822","176,06","193,104","182,782","159,911","162,63","186,06","14,98","18,05","20,46","23,49","13,73","16,69","21,71","28,27","29,34","22,67","25,42","29,09","118,96","112,68","70,85","205,10","163,79","143,66","160,20","137,73","128,34","28,22","116,42","208,46","172,67","160,19","858,00","70,63","311,88","124,45","91,00","123,09","38,32","35,44","27,75","21,50","18,73","76,34","87,57","46,58","33,81"
640,"312,397","167,1931","175,66","196,147","183,719","157,015","160,02","187,73","11,62","13,63","15,38","17,70","10,53","12,40","20,53","28,29","28,95","6,38","7,18","9,03","89,36","94,97","54,33","198,19","158,13","137,86","33,17","25,96","22,85","8,67","21,88","184,54","151,45","140,81","830,00","53,74","288,00","102,88","74,62","110,52","34,60","31,98","24,33","18,56","15,84","32,70","114,76","47,38","33,47"
650,"326,544","161,8898","176,19","192,929","179,446","151,415","153,94","183,46","8,88","10,11","11,31","13,01","7,98","9,03","20,06","28,84","29,46","5,38","5,92","6,93","65,82","79,84","41,41","202,80","155,72","136,36","37,46","31,00","28,43","9,39","26,89","158,73","129,03","122,39","784,00","43,36","262,51","90,92","69,54","102,08","30,15","27,91","20,63","15,70","13,15","12,85","44,12","46,16","31,95"
660,"340,473","160,3353","176,10","195,119","179,903","148,886","151,52","184,39","6,84","7,47","8,25","9,47","6,08","6,57","19,98","28,46","30,98","5,06","5,49","6,25","47,63","66,42","31,52","227,46","160,59","142,84","29,50","25,85","24,37","12,53","23,46","130,35","105,27","101,15","722,00","37,56","242,67","99,06","80,93","107,45","25,46","23,59","16,97","13,07","10,73","8,62","16,12","43,04","29,38"
670,"354,152","163,5240","173,52","203,600","186,083","150,295","153,59","191,23","5,28","5,51","5,98","6,82","4,68","4,77","15,92","23,57","23,77","3,52","3,68","4,06","34,20","55,74","24,26","176,19","133,34","116,75","21,80","19,62","18,34","8,19","18,03","103,81","83,59","81,33","653,00","35,96","232,04","84,71","125,73","136,30","20,97","19,49","13,62","10,65","8,61","6,55","8,96","38,60","26,02"
680,"367,547","158,5652","169,30","200,201","181,909","145,075","147,71","186,49","4,11","4,08","4,32","4,88","3,64","3,47","12,27","19,20","17,43","2,82","2,79","2,85","24,36","46,41","18,79","135,43","109,70","94,80","13,75","13,61","13,28","3,29","13,69","80,64","64,73","63,79","575,00","31,67","218,01","75,64","68,58","94,94","16,91","15,72","10,71","8,59","6,83","5,15","6,26","33,44","22,33"
690,"380,632","143,7240","162,41","180,638","164,494","131,566","133,00","167,16","3,39","3,17","3,25","3,61","3,00","2,66","10,45","16,69","14,60","3,53","3,94","4,48","18,05","39,51","15,64","116,19","95,39","82,42","21,37","18,73","17,31","3,25","16,15","62,58","50,25","50,14","502,00","18,18","173,88","59,62","62,53","96,29","13,40","12,45","8,30","6,85","5,40","4,06","4,69","28,05","18,65"
700,"393,379","142,2743","154,54","181,096","164,098","129,540","130,66","166,31","2,72","2,37","2,36","2,57","2,39","1,96","8,69","14,10","12,07","2,16","2,55","3,03","12,44","31,92","11,97","97,18","80,82","69,76","11,93","9,85","8,67","1,38","7,93","46,88","37,50","37,75","425,00","14,58","156,41","46,19","45,32","69,72","10,46","9,72","6,34","5,40","4,26","3,20","3,59","22,84","15,17"
